"","city","link","lat","long","city_id","city_size","county"
"298","TÃ¼bingen","https://www.flixbus.de/fernbus/tuebingen",48.516633,8.516633,159,"90.546","Baden-WÃ¼rttemberg
"
"300","Ulm","https://www.flixbus.de/fernbus/ulm",48.425855,8.425855,733,"126.329","Baden-WÃ¼rttemberg
"
"303","Vechta","https://www.flixbus.de/fernbus/vechta",52.729225,2.729225,740,"32.433","Niedersachsen
"
"308","Weimar","https://www.flixbus.de/fernbus/weimar",11.327605,1.327605,763,"65.090","ThÃ¼ringen
"
"310","WeiÃŸenfels","https://www.flixbus.de/fernbus/weissenfels",51.199882,1.199882,112,"40.409","Sachsen-Anhalt
"
"311","Wernigerode","https://www.flixbus.de/fernbus/wernigerode",51.840653,1.840653,772,"32.733","Sachsen-Anhalt
"
"312","Wertheim","https://www.flixbus.de/fernbus/wertheim",49.758603,9.758603,773,"22.780","Baden-WÃ¼rttemberg
"
"313","Westerstede","https://www.flixbus.de/fernbus/westerstede",53.255072,3.255072,109,"22.778","Niedersachsen
"
"315","Wetzlar","https://www.flixbus.de/fernbus/wetzlar",50.55898,8.508164,840,"52.954","Hessen
"
"317","Wiesbaden","https://www.flixbus.de/fernbus/wiesbaden",50.070865,8.246166,779,"278.342","Hessen
"
"318","Wilhelmshaven","https://www.flixbus.de/fernbus/wilhelmshaven",53.519004,3.519004,167,"76.278","Niedersachsen
"
"321","Wismar","https://www.flixbus.de/fernbus/wismar",11.465178,1.465178,219,"42.550","Mecklenburg-Vorpommern
"
"325","Worms","https://www.flixbus.de/fernbus/worms",49.634137,9.634137,791,"83.330","Rheinland-Pfalz
"
"326","Wuppertal","https://www.flixbus.de/fernbus/wuppertal",51.275083,1.275083,171,"354.382","Nordrhein-Westfalen
"
"328","WÃ¼rzburg","https://www.flixbus.de/fernbus/wuerzburg",49.801313,9.801313,111,"127.880","Bayern
"
"329","Zeitz","https://www.flixbus.de/fernbus/zeitz",51.055855,1.055855,113,"27.955","Sachsen-Anhalt
"
"332","ZweibrÃ¼cken","https://www.flixbus.de/fernbus/zweibruecken",49.247358,9.247358,795,"34.209","Rheinland-Pfalz
"
"333","Zwickau","https://www.flixbus.de/fernbus/zwickau",50.711126,2.493709,796,"89.540","Sachsen
"
"334","Ãœberlingen","https://www.flixbus.de/fernbus/ueberlingen",47.769278,7.769278,730,"22.554","Baden-WÃ¼rttemberg
"
